Item_Id,Item_Visibility,Store_Id,Item_Store_Sales
CRD30,0.026903714,STR045,1272.3438
NCZ54,0,STR010,324.9104
BST10,0.150554711,STR010,131.1626
PNT44,0,STR010,260.9936
JCK28,0.134975628,STR010,260.9936
SWT15,0.15616879,STR013,3690.5294
TSH39,0,STR035,1139.1838
HDJ24,0.133700752,STR049,1995.4026
SKT60,0.115119905,STR017,1416.8224
OCT28,0.110030997,STR046,265.6542
FDT25,0.051038045,STR017,3552.7088
SHT13,0.062837968,STR013,2406867
NCO07,0.017116983,STR019,213056
DRS20,0.024129332,STR013,2956152
DRF27,0.049754975,STR019,153134
PRK49,0,STR035,1649.8524
SWT25,0.101561568,STR027,3101.2964
PJB42,0.005949644,STR027,4769.1254
FDG33,0.13956116,STR027,3435528
FDL56,0.126035694,STR045,1133.8574
BJK14,0.027164679,STR035,2603278
CRD06,0.099325278,STR046,605878
DRM47,0.04357366,STR027,2293.0152
PRK46,0.082741482,STR019,119.1782
FDB35,0.064565202,STR013,1929.4884
SWT21,0.084554569,STR027,2074.6328
NCU05,0.058451805,STR027,241.6854
NCR38,0.113748685,STR045,6795.1548
NCR18,0.020603511,STR017,639168
NCU41,0.052044976,STR035,3248.4382
HDJ56,0.062764429,STR017,7222.5984
SHT51,0.087977262,STR035,3225.1352
FDK21,0.010010425,STR035,3755112
HDJ25,0.033946163,STR013,3440.8544
TCT44,0.058414678,STR035,974.7312
FDL43,0.027106459,STR049,535969
BJK05,0.027022883,STR017,5259.82
DRF15,0.058153409,STR019,306268
FDL20,0.128937661,STR018,1779.0176
JNS32,0.088846306,STR049,759012
FDJ34,0.09357779,STR013,1877556
FDG08,0.165694678,STR045,3779.0808
FDQ04,0.148392623,STR019,41.2796
DRS13,0.098438394,STR017,259662
NCI17,0.143303291,STR013,193082
HDJ03,0.076276208,STR045,1687803
PRK12,0.175103435,STR017,4655.9394
FDJ55,0.023511371,STR013,4950.8888
DRK01,0.06105276,STR035,1418154
FDG28,0.049559042,STR017,1225072
HDJ38,0.119418124,STR045,5359.69
BLS01,0.072545601,STR045,1764.37
NCR54,0.090486828,STR013,2553343
FDG29,0.056245075,STR013,1006.6896
FDG24,0.014618973,STR013,1081925
FDG59,0.043479126,STR017,308.9312
FDM28,0.045166237,STR013,2516724
DRS04,0.057827101,STR046,1428141
PRK26,0.089394766,STR013,2093.2752
FDQ56,0.10550944,STR013,1929.4884
FDK51,0.005234153,STR035,5829.7448
FDL22,0.036390174,STR046,2082.6224
OCT19,0.03292824,STR027,7298.4996
HDJ55,0.081252534,STR013,7452.9652
HDJ03,0.076552407,STR017,450.0808
FDK21,0.016758569,STR010,500.6816
FDZ10,0.044248175,STR027,3668558
FDZ32,0.038288087,STR018,736.3748
NCZ18,0.186032678,STR035,6088.0752
NCF07,0.031867464,STR027,2125.2336
DRE49,0.021370201,STR017,2277036
FDJ08,0.193772568,STR019,573.2538
FDT39,0.009866049,STR035,2267049
BST08,0.082551042,STR010,296.9468
CRD06,0.099729888,STR018,559272
FDB57,0.018801549,STR035,5559.43
NCT54,0.119721451,STR049,1237.7222
DRF49,0.071222087,STR045,569259
FDM25,0.060371962,STR027,3866.9664
BJK20,0.033287541,STR045,1379.5376
OCT27,0.05858462,STR018,1869.5664
JNS60,0.11679292,STR027,5499508
HDJ59,0.031452265,STR049,925462
FDK36,0.00721395,STR035,583.2408
NCM31,0.081196619,STR046,1418154
BST33,0.049916364,STR017,942.7728
TCT36,0.04627095,STR046,2364.9216
JNS13,0.02747716,STR027,3251.7672
JNS20,0.104704537,STR019,254.3356
NCQ54,0.012540003,STR035,5895659
COT23,0.147023834,STR018,1134.5232
DRE60,0.159657596,STR045,7696648
DRP47,0.141398626,STR017,2775.7202
FDB21,0.148821808,STR045,5317.0788
PNT04,0,STR018,874.8612
SWT23,0.029691762,STR046,1039.9796
SWT19,0.096715523,STR035,3038.0454
FDD40,0.014790559,STR035,3848324
TSH01,0.054378253,STR046,527.3136
PRK33,0.123428594,STR046,2390.8878
FDM50,0.029943463,STR027,1677816
FDB29,0.052368061,STR013,801.6232
BJK46,0.093861144,STR045,1267.0174
TSH33,0.033968647,STR045,886.8456
SKT08,0.173154079,STR010,452744
FDB53,0.139735226,STR045,3877.6192
HDJ31,0.043351896,STR027,4414254
DRQ35,0.042086652,STR027,5448.9072
SWT36,0.12848269,STR049,4950.8888
DRD13,0.049357077,STR017,958752
SKT52,0.008326735,STR017,1956.1204
FDB45,0.021362955,STR049,2404.2038
NCK19,0.151420934,STR010,387.4956
JNS51,0.032511818,STR013,994.7052
FDZ35,0.022323658,STR045,1754383
NCW17,0.019292355,STR027,3340.9844
JNS59,0.048124443,STR045,3918.8988
SWP39,0.09261307,STR013,306268
BLS60,0.094697274,STR027,4278.4308
TCT55,0.035984104,STR045,4425.5726
BLS58,0.056596985,STR027,9267936
SKT41,0.2047,STR019,229701
COT01,0.020618324,STR027,2055.9904
NCO43,0.04709821,STR046,3339.6528
FDQ07,0.087584126,STR045,6410.3224
BJK28,0.038078899,STR017,1992.0736
FDM01,0.095102092,STR017,2870.9296
HDJ49,0.011953902,STR027,2807.0128
PNT24,0.062799379,STR013,539298
NCY18,0.031125709,STR013,4377635
NCY30,0.026005891,STR045,2716464
FDJ22,0.09246392,STR019,383.5008
JSP37,0.107765165,STR049,703.0848
FDL27,0.010647477,STR049,1937478
NCO30,0.015749341,STR049,3307.6944
VST07,0.077628053,STR049,3142576
SWT25,0,STR018,2554.0088
JCK59,0.056695731,STR018,1869.5664
PNT59,0.063993068,STR045,5494.8474
FDT27,0.069529262,STR013,6093.4016
JSP01,0.034452949,STR046,2586633
TCT09,0.06670068,STR049,1255.6988
OCT26,0.034699737,STR046,4093.3384
OCT27,0.058346939,STR046,3163.8816
BLS39,0.065203103,STR027,5033448
OCT40,0.078929571,STR046,1137.1864
FDJ56,0.182514881,STR027,2696.49
DRN47,0.016895293,STR018,898.83
NCO17,0.073379745,STR046,2756412
SWT60,0.08075758,STR045,878856
FDT22,0.112271498,STR049,659142
SWT26,0.153741385,STR019,182.4292
FDG45,0.127929521,STR013,3610.6334
FDD44,0.07838564,STR035,5153292
PRK15,0.078502143,STR017,2588.6304
FDL51,0.047684831,STR018,1286.3256
FDL32,0.123159656,STR017,1230.3984
FDZ07,0,STR027,1733.7432
NCW53,0.053392944,STR019,384.8324
NCA54,0.036715907,STR045,3969.4996
SWT09,0.065236932,STR035,7763228
COT51,0.041947547,STR013,809.6128
DRS49,0.082888496,STR018,1253.7014
FDB27,0.055390121,STR046,5715.2272
BJK45,0.012194556,STR013,1464.76
JNS02,0.060495243,STR013,3251.1014
HDJ28,0,STR035,4274436
SWT31,0.014753811,STR027,5375.0034
PNT43,0.160707489,STR027,1318284
JCK51,0.085622362,STR018,2251.7356
FDL52,0.046350909,STR017,1176.4686
PNT44,0.102920886,STR046,3523.4136
FDB34,0.026604781,STR035,610.5386
SKT50,0,STR035,1237.7222
FDT57,0.031860325,STR010,474.0496
JCK22,0,STR027,717.7324
DRE49,0.021250002,STR046,2580.6408
FDM40,0.159936948,STR046,2552.6772
HDJ32,0.129503146,STR045,3914904
DRS07,0.142688846,STR046,796.9626
TCT02,0.179484411,STR019,916.1408
NCF18,0.089163056,STR045,3259.7568
FDQ56,0.105761491,STR049,1677816
BLS58,0.056960814,STR049,3707.1744
FDG35,0.00704098,STR046,2954.1546
HDJ34,0.011026594,STR018,2652.5472
NCE19,0.093203257,STR045,1037.3164
NCK31,0.026916794,STR027,717.7324
NCJ29,0.035264298,STR045,426112
FDT59,0.015908424,STR035,6911004
PJB41,0.017719277,STR046,3811.0392
TCT45,0.035334201,STR027,2277036
DRS24,0.065652494,STR019,48.6034
BJK22,0.056919038,STR049,5770.4886
FDM60,0.048143292,STR046,690.4346
PNT02,0.022047313,STR013,1890.2062
DRP35,0.090427268,STR027,3195.84
PRK48,0.027779254,STR046,1504708
NCZ42,0,STR010,711.0744
FDZ38,0.008033611,STR018,4311055
OCT19,0.033088472,STR046,521.3214
VST55,0.160663021,STR046,829.5868
SKT15,0.178975721,STR017,1571288
BJK11,0.017627888,STR035,2403538
DRS35,0.0194158,STR019,83.8908
FDB44,0.016993225,STR045,844.2344
NCC06,0.027139013,STR017,2940.1728
PNT04,0.03777249,STR010,291.6204
FDB17,0.036746479,STR045,3259.7568
DRS43,0.022460102,STR049,3415554
TSH27,0,STR018,5624.6784
NCU41,0.05213575,STR049,6687961
HDJ56,0.062508438,STR049,5642655
JNS39,0.007309544,STR018,4943565
BLS32,0.015623754,STR018,3135.2522
DRS07,0.142978223,STR045,796.9626
FDZ27,0.017191055,STR045,848895
DRS23,0.143592939,STR019,38.6164
TCT01,0.011995271,STR046,4997.4948
BJK10,0.15717236,STR049,588.5672
SWP03,0.061393095,STR019,372848
DRS27,0.264124669,STR019,155.1314
JSP13,0.020310046,STR013,3038.7112
NCR05,0.054630834,STR046,1587.2672
FDB29,0.052517969,STR045,687.1056
FDL51,0.047565208,STR049,1929.4884
FDB11,0.060797393,STR013,3600.6464
FDI35,0.041291169,STR046,2181.1608
SWT08,0.022604051,STR046,3428.2042
JCK59,0.056580228,STR045,623.1888
NCJ18,0.164196823,STR049,2133.2232
FDJ41,0.022976497,STR018,3401.5722
TCT08,0.027310252,STR035,1289.6546
PRK09,0.141975462,STR019,50.6008
SWP15,0,STR013,790.9704
NCV17,0.01619866,STR017,3147.9024
NCO54,0.014205168,STR027,2486763
BST24,0.09344495,STR035,1139.8496
OCT53,0.019199733,STR046,1816.3024
FDZ13,0.154120252,STR018,199.74
DRS28,0.089004389,STR045,978726
TCT46,0.011117041,STR013,2683174
NCE43,0.103422709,STR035,2897.5616
PRK26,0.089035961,STR027,9158079
FDB14,0.102723919,STR046,1957452
DRB48,0.024733134,STR027,1296.3126
NCC42,0.044871033,STR013,2528.7084
FDQ20,0.029760052,STR013,284.2966
TSH13,0.078999287,STR017,759012
FDZ15,0.020870744,STR046,1787673
NCV42,0.031599715,STR017,2431.5016
JSP51,0.042413704,STR018,4466.1864
COT28,0.072284689,STR035,2048.6666
LGS54,0.009984847,STR013,1940807
OCT16,0.052852621,STR017,2067309
FDG24,0.014660821,STR045,2663.2
PNT52,0.076354362,STR018,1146.5076
NCH06,0.076709639,STR045,3448844
TSH36,0.005677876,STR045,1665.8316
TCT56,0,STR027,8114.7704
FDT09,0.012282366,STR049,1713.7692
TCT25,0.026681262,STR046,810.9444
FDK41,0.127541722,STR046,1193.1136
NCT54,0.119513002,STR035,856.8846
JNS51,0.054463442,STR010,165.7842
FDM24,0,STR045,1057.9562
NCO30,0.015756784,STR045,2205.1296
FDQ45,0.010907967,STR013,2940.1728
DRK59,0.07543556,STR035,3046.7008
DRS28,0,STR046,3327.6684
SKT02,0.115194717,STR010,520.6556
PNT21,0.066922802,STR035,2999429
BLS48,0.064636203,STR027,2113.2492
FDT44,0.103195401,STR045,942.7728
SWT14,0.13121032,STR019,75.2354
OCT57,0.035747522,STR046,1581.9408
OCT28,0.192650072,STR019,37.9506
NCT41,0.098031771,STR019,151.8024
COT11,0.030118338,STR027,3486.1288
NCP42,0.016201845,STR017,4262.4516
BLS09,0.05837308,STR010,731.0484
JCK32,0.087652908,STR035,1398.8458
JNS57,0.065999008,STR049,2336958
DRS28,0.088750333,STR013,2348.9424
PNT56,0.100277876,STR027,7094.7648
TSH40,0.099252438,STR035,1054.6272
NCG42,0,STR045,1298.31
NCK54,0,STR017,2330.3
BST16,0.026384672,STR049,4584.6988
FDB15,0.228993134,STR010,527.3136
SKT40,0.065431917,STR017,1869.5664
BST53,0.026749991,STR027,2876256
FDK24,0,STR018,407.4696
DRS31,0.043333912,STR018,2189.8162
PJB29,0.089656812,STR017,1603.9122
NCM07,0.039954281,STR035,2013.3792
DRN36,0.087854925,STR019,95.8752
FDQ37,0.149404057,STR010,774.9912
FDK43,0.0268952,STR045,2403538
FDK28,0.065857092,STR018,4380.2982
PNT43,0.161817014,STR045,219714
FDL48,0.082197959,STR013,729051
DRL23,0.015335349,STR045,1393.5194
PJB42,0.00599072,STR045,5262.4832
DRD37,0.013898123,STR018,372848
FDZ47,0.078912473,STR027,3273.7386
NCJ54,0.059776237,STR027,5344.3766
FDL52,0,STR013,303.6048
SKT15,0.297883712,STR010,314.2576
CRD19,0.022059594,STR010,276307
FDD08,0.03532494,STR013,721.0614
NCN18,0.124967595,STR045,3467.4864
HDJ56,0.062411404,STR046,5416.9488
NCI29,0.032754431,STR018,283.6308
NCE06,0.160178832,STR019,323.5788
SKT08,0.104035148,STR017,5206556
TCT52,0.06390019,STR045,2503408
BLS16,0.062648111,STR013,1960781
NCM55,0.111685868,STR010,370.1848
PNT49,0.233039817,STR010,95.8752
SKT15,0.17824575,STR049,3299.7048
FDB53,0.140241213,STR017,2684.5056
FDK44,0,STR046,2085.2856
TSH16,0.033935576,STR035,2210456
COT19,0.016516275,STR027,2187153
COT04,0.026537206,STR046,1049.9666
NCL19,0.015673267,STR035,2719793
TSH44,0.089083914,STR010,56593
PNT60,0.131152799,STR017,231.6984
JNS37,0.083109455,STR027,5734.5354
FDG53,0.045818773,STR013,1398.18
DRG01,0.044869794,STR035,1531.34
FDB38,0,STR019,319584
FDI27,0.04605781,STR049,633.8416
FDD29,0.030815427,STR010,1014.6792
NCR41,0.01806055,STR045,2094.6068
DRS44,0.035205866,STR049,2386.2272
TCT21,0.076705948,STR035,780.9834
FDI14,0.089677773,STR046,1693.7952
DRS50,0.132327406,STR019,334.2316
BLS39,0.065520388,STR046,1342.2528
FDT31,0.012518707,STR017,4916.2672
FDJ14,0.050353695,STR017,1757712
NCQ43,0.110762642,STR027,1637868
FDZ22,0.045050674,STR027,1747725
TCT38,0.083016832,STR017,2876256
PRK32,0,STR045,1966.7732
SWP13,0.023983258,STR018,958752
DRF03,0.075836522,STR010,81.2276
FDJ20,0.100330684,STR049,1238388
BST22,0.051778173,STR019,319584
SWT22,0.022970468,STR035,4418.2488
DRM11,0.066014596,STR013,2863.6058
FDL58,0.07429945,STR045,1845.5976
FDL25,0.131128467,STR049,1561.9668
FDD40,0.014816356,STR049,3848324
FDT08,0.049318315,STR045,2097.27
COT22,0.017960492,STR017,639168
NCM41,0.035801238,STR018,559272
FDJ21,0.038606365,STR045,2770.3938
SKT53,0.008871687,STR018,295.6152
DRK35,0.125793938,STR019,37.9506
FDQ09,0.058369013,STR018,1267.0174
DRB48,0,STR046,353.5398
DRE25,0.073269336,STR035,1118544
FDL08,0.049677651,STR013,4655.2736
NCV42,0.031470832,STR049,1547.3192
DRS03,0.024579432,STR049,1045306
FDL25,0.131665479,STR017,275.6412
SKT17,0.015523707,STR018,2735.1064
FDK44,0.122475364,STR045,347.5476
BST34,0.107891398,STR046,3817.0314
JCK10,0.128065918,STR035,1905.5196
FDZ22,0.045361705,STR045,665.8
NCK19,0.090390357,STR013,2324.9736
COT44,0.087029712,STR027,3205.1612
NCU41,0.052054819,STR046,2101.9306
NCF31,0.051952573,STR045,1821.6288
FDG14,0.050786366,STR017,3643.2576
NCH30,0.067141355,STR035,2942836
PNT36,0.121485195,STR013,587.2356
NCJ30,0.080640478,STR046,2886243
PNT08,0.037699254,STR045,2223772
TCT04,0,STR018,487.3656
NCQ50,0.034501405,STR017,5770.4886
FDL46,0.053795154,STR027,1414.1592
DRK37,0.044004675,STR046,5502837
FDK48,0,STR046,2181.8266
JNS58,0.121250374,STR046,1565.9616
BLS27,0,STR018,1054.6272
FDZ52,0.100230114,STR049,1667829
NCF42,0.167383061,STR046,2812.3392
FDQ48,0.034404732,STR035,489363
DRS49,0.082719632,STR045,2865.6032
PNT58,0.041913535,STR035,1665.8316
NCE07,0.0132043,STR017,2694.4926
FDK14,0.041105789,STR046,1555.9746
SKT11,0.141106202,STR027,3836.3396
FDL22,0.036463975,STR045,543.2928
NCQ41,0.01946418,STR013,1950794
SWT46,0,STR013,177.7686
SKT35,0.123086812,STR045,1035319
OCT45,0.105646853,STR035,949.4308
SWT33,0.118149377,STR017,1283.6624
SHT35,0.046545786,STR013,484.7024
SKT40,0.065009745,STR013,934.7832
COT19,0.016630303,STR045,534.6374
JCK13,0.134532392,STR049,878856
JCK24,0.083133128,STR049,1332.9316
NCQ42,0.039428167,STR018,3560.6984
HDJ59,0,STR018,647.8234
TCT14,0.034823127,STR045,4993.5
FDB21,0.148492521,STR035,1691.7978
FDT32,0.065901299,STR018,1695.7926
FDK20,0.041622264,STR049,4042.7376
SWT09,0.064933297,STR027,4763799
FDM01,0.0945493,STR035,1640.5312
JSP37,0.107076832,STR027,1288.9888
FDL20,0.128674983,STR045,2334.9606
TCT13,0.188322664,STR018,2207127
BST05,0,STR019,437.4306
BST58,0.052025392,STR013,2370248
FDT32,0.065316099,STR027,5087.3778
FDZ01,0.01516265,STR010,103199
FDM08,0.053584207,STR046,4697.8848
PRK58,0.020989132,STR013,2406867
FDZ26,0.144017405,STR046,5736.5328
SKT46,0.115978122,STR027,7192.6374
HDJ51,0.081465335,STR018,6611394
FDL34,0.041177505,STR017,3246.4408
DRG39,0.042352822,STR018,1262.3568
NCG43,0.074541867,STR018,1758.3778
FDT01,0.18454121,STR045,4672.5844
NCR38,0.114160573,STR017,3775086
DRF01,0.175352413,STR049,2478.7734
BJK53,0.083590755,STR035,3067.3406
PRK45,0.029471408,STR013,3281.7282
PNT20,0.028282832,STR017,1086.5856
HDJ07,0,STR010,229701
FDD38,0.008208342,STR045,1528011
DRF15,0.03334929,STR018,1990742
OCT32,0.076060037,STR046,868869
NCJ42,0.014301326,STR046,1230.3984
FDB56,0.074931201,STR018,938778
FDD03,0.080131363,STR018,4194.54
NCL18,0.167444431,STR013,1166.4816
DRS22,0.03033748,STR049,5764.4964
BST32,0.04874969,STR035,113.8518
TSH34,0.014788594,STR027,7443644
FDJ08,0.111298111,STR017,3057.3536
FDG38,0.05268526,STR013,3579.3408
FDD29,0.018485511,STR018,1522.0188
NCE31,0.184689756,STR013,450.0808
PRK19,0.064153845,STR013,607.2096
TCT11,0.092516598,STR013,1325.6078
FDL02,0.104245198,STR049,1270.3464
COT51,0.041779181,STR027,1107.8912
DRK23,0.07226985,STR018,3542056
COT27,0.179806961,STR018,1534.0032
FDB16,0.044995631,STR049,1308297
TSH44,0.053523765,STR017,1471418
VST18,0.041459372,STR018,1239.7196
NCL53,0.036234918,STR046,3896.2616
PNT16,0.105445801,STR018,1496.0526
NCQ05,0,STR013,3460.8284
BJK44,0.05997133,STR018,2870.9296
TCT50,0.075595405,STR017,1259.6936
FDG20,0.210375806,STR010,177.1028
FDD58,0.059341019,STR035,798.96
FDT01,0.18520944,STR017,3185853
FDK15,0.098566832,STR049,1488063
FDJ08,0.11084417,STR049,5159.2842
PRK10,0.0350152,STR027,5954.2494
FDJ55,0.023567538,STR049,4500808
TCT32,0,STR010,121.8414
FDG09,0.04792722,STR035,4318.3788
BST39,0.036207786,STR045,3456.1678
TCT56,0.044377096,STR013,1659.8394
NCH55,0.034742632,STR045,759012
SWT33,0.116915909,STR027,4974.1918
PNT24,0.062979148,STR045,1707777
SKT33,0.068604503,STR027,7488.9184
NCV54,0.03294861,STR027,2488.7604
NCQ02,0.007450258,STR013,2816334
NCU17,0.093027718,STR049,2954.1546
NCZ06,0.164864915,STR019,761.0094
JNS37,0.083498083,STR035,593.2278
SWP25,0.014522363,STR027,1298.31
